column_name,plain_language_meaning,role,why_it_matters
chembl_id,Unique ChEMBL compound identifier for the antiviral molecule.,Identifier,Unique key to link back to the ChEMBL database for additional information about the compound.
pref_name,Generic market name of antiviral drug (if available).,Identifier,Human-readable drug name that may be more familiar to researchers and practitioners.
molecule_type,"Type of moleule (e.g., small molecule, biologic).",Predictor,"Categorizes the molecule type, which can influence its bioactivity and mechanism of action."
max_phase,Highest clinical trial phase reached by the compound (I - IV).,Target,"Out of the various stages of drug development, the highest phase reached can indicate the molecule's potential and safety profile."
therapeutic_flag,Boolean approved drug status - is it currently approved for use?,Target,"Approved drugs have known safety and efficacy profiles, making this a critical variable for understanding which compounds are viable therapeutics."
canonical_smiles,"Standardized text chemical structure representation of the molecule, used for computational analysis.",Identifier,"The 'source code' for the molecule, used to generate ML features."
standard_inchi_key,"A hashed version of the SMILES string, used for efficient storage and indexing.",Identifier,Allows for efficient storage and retrieval of chemical structure information without needing to process the full SMILES string.
full_mwt,"Molecular weight of the compound, which can influence its pharmacokinetics and bioactivity.",Predictor,Molecular weight is a fundamental chemical property that can affect a compound's ability to interact with biological targets and its pharmacokinetic properties.
alogp,Hydrophobicity/lipophilicity of the compound.,Predictor,"Key descriptor of a compound's chemical properties, influencing its absorption, distribution, metabolism, excretion, and toxicity (ADMET) profile."
hba,Hydrogen bond acceptor count.,Predictor,"H-bond acceptor count is an important descriptor that can influence a compound's solubility and its ability to interact with biological targets, affecting its bioactivity."
hbd,Hydrogen bond donor count.,Predictor,"H-bond donor count is another critical descriptor that can influence a compound's solubility and its ability to interact with biological targets, affecting its bioactivity."
num_ro5_violations,Count of Lipinski's Rule of 5 violations.,Derived,"A derived variable that summarizes key drug-likeness properties, which can influence a compound's likelihood of being an orally active drug in humans."
synonyms,"Synonym for the molecule, which may include alternative names or identifiers used in different contexts or databases.",Identifier,"Provides additional names or identifiers for the molecule, which can be useful for cross-referencing with other databases or literature."
atc_codes,Anatomical Therapeutic Chemical classification.,Identifier,Sanity check - all antivirals approved for human systemic use should beging with J05.
rdkit_valid,Boolean check if RDKit can process the molecule.,Predictor,Can RDKit successfully parse the SMILES string -- important for downstream cheminformatics analyses.
canonical_smiles_rdkit,Cleaned version of the chemical SMILES string used for mathematical operations.,Identifier,Standardized SMILES string ensures consistency in chemical structure representation for computational analyses.
mw_rdkit,"Standardized Molecular Weight: RDKit moleculear weight object created from the cleaned SMILES string, used for cheminformatics analyses.",Predictor,Standardized molecular weight from RDKit. Affects a drug's ability to diffuse through cell membranes.
logp_rdkit,"Calculated Partition Coefficient (LogP) using RDKit from the cleaned SMILES string, used for cheminformatics analyses.",Predictor,Measures lipophilicity (how well the drug dissolves in fats vs water). Affects absorption and distribution.
hba_rdkit,"RDKit hydrogen bond acceptor object created from the cleaned SMILES string, used for cheminformatics analyses.",Predictor,RDKit hydrogen bond acceptor used for sanity checks and downstream cheminformatics analyses.
hbd_rdkit,"RDKit hydrogen bond donor object created from the cleaned SMILES string, used for cheminformatics analyses.",Predictor,RDKit hydrogen bond donor used for sanity checks and downstream cheminformatics analyses.
rotatable_bonds,"Rotatable bonds - single non-ring bonds, connected to non-terminal heavy atoms (non-hydrogen), allowing free rotation around their axis.",Predictor,Quantitative descriptor for the conformational flexibility of a molecule. Play critical role in balancing molecular rigidity with flexibility for optimal binding to viral proteins (drug efficacy).
tpsa,Topological Polar Surface Area - sum of surfaces of polar atoms; influences drug transport properties such as absorption and permeability.,Predictor,"Predicts cell membrane permeability and oral bioavailability, which are crucial for drug absorption and distribution in the body. High TPSA can indicate poor permeability, while low TPSA may suggest better absorption."
passes_mw_filter,Boolean: Is the molecule under 500 Daltons?,Derived,"Indicative of molecular size and efficacy - Molecules smaller than 500 Da generally penetrate the top layer of skin easily. Used as a common rule of thumb for drug-likeness, as larger molecules may have poor absorption and permeability."
passes_lipinski,Boolean: passes Lipinski's Rule of 5 (no more than 1 violation)?,Derived,"A widely used rule of thumb in drug discovery to evaluate the drug-likeness of a compound. Compounds that violate more than one of Lipinski's rules (molecular weight > 500 Da, LogP > 5, H-bond donors > 5, H-bond acceptors > 10) are less likely to be orally active drugs in humans."
