smiles,molecular_weight,logp,hbd,hba,lipinski_score,full_pass,similarity_to_seed
O=C(O)CP(=O)(O)O,140.031,-0.7513000000000001,3,2,4,True,1.0
O=C(O)P(=O)(O)O,126.00399999999998,-0.1579000000000001,3,2,4,True,0.4117647058823529
NP(=O)(O)C(=O)O,125.01999999999998,-0.1914999999999999,3,2,4,True,0.3684210526315789
NC(=O)c1nc(F)cnc1O,157.10399999999998,-0.5798000000000002,2,4,4,True,0.08333333333333333
CN1C(=O)/C(=B\NC(N)=S)c2ccccc21,231.08900000000003,-0.3640999999999994,2,2,4,True,0.06666666666666667
CN1C(=O)/C(=N\NC(N)=S)c2ccccc21,234.28400000000002,0.2003000000000002,2,3,4,True,0.06521739130434782
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,229.261,-0.5941000000000001,2,6,4,True,0.06
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,255.23399999999998,-1.970899999999999,4,7,4,True,0.058823529411764705
CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,410.5580000000003,4.339200000000004,0,5,4,True,0.046511627906976744
Nc1nc(O)c2ncn(CCC(CO)CO)c2n1,253.26199999999994,-0.895,4,7,4,True,0.041666666666666664
